DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,ACCOUNT TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Allied Health-Services Limited t/a Allied Healthcare,588.92,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Allied Health-Services Limited t/a Allied Healthcare,632.60,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Allied Health-Services Limited t/a Allied Healthcare,680.49,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Allied Health-Services Limited t/a Allied Healthcare,686.39,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Cardiff Homecare Limited,744.59,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Grangelodge Residential Home Limited t/a Grangelodge,851.35,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Accomplish Group Limited t/a Ty Bradwen,"1,755.30",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,218321,Hafod Housing Association Limited,645.50,REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,26/05/2020,239011,ADSS Cymru (Wales) Limited,"3,600.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260050,Hutchinson Thomas Limited t/a Hutchinson Thomas,"2,093.60",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260115,Llamau Limited,"9,259.75",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260140,Llamau Limited,700.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260210,NonStop Consulting Limited,"1,336.44",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260210,NonStop Consulting Limited,"1,521.44",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260260,Frontline Staffing Limited,585.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260260,Frontline Staffing Limited,"1,170.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260260,Frontline Staffing Limited,"1,193.70",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260260,Frontline Staffing Limited,"1,472.23",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260260,Frontline Staffing Limited,"1,472.23",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260260,Frontline Staffing Limited,"1,472.23",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260260,Frontline Staffing Limited,"1,472.23",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260260,Frontline Staffing Limited,"1,544.23",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260260,Frontline Staffing Limited,"1,560.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,260260,Frontline Staffing Limited,"1,566.73",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/05/2020,325000,Kordel Limited,975.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/05/2020,325361,Aber Wrought Iron Limited,"1,300.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/05/2020,325368,Kordel Limited,"1,941.81",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/05/2020,325368,Kordel Limited,"1,941.81",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/05/2020,325369,Kordel Limited,"1,941.81",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/05/2020,325369,Kordel Limited,"1,947.60",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/05/2020,325600,Kordel Limited,"1,375.40",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/05/2020,325682,Waterman Aspen Limited,843.30,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/05/2020,325750,Conemasters Limited,"2,800.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,26/05/2020,333013,Ace Site Services (UK) Limited,"1,150.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,26/05/2020,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,"2,520.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,26/05/2020,333500,Weeding Technologies Limited,"3,000.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,26/05/2020,365786,First Cymru Buses Limited,"8,129.81",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,26/05/2020,365803,Travellink Solutions Limited,"1,012.50",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,26/05/2020,421230,Computacenter (UK) Limited,"1,191.36",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,26/05/2020,421230,Computacenter (UK) Limited,"17,870.40",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,26/05/2020,421230,Cognitive Network Solutions Limited,"37,846.04",REVENUE
DIRECT POLICY,GF GRANTS,26/05/2020,465201,Circean Limited,"3,000.00",REVENUE
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,26/05/2020,471921,Arrow County Supplies Limited,"5,500.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,26/05/2020,100404,Cardiff County Council,"4,982.02",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/05/2020,101005,Eastern Shires Purchasing Organisation,524.37,REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,26/05/2020,239011,Cardiff County Council,"5,489.48",REVENUE
DIRECT ENVIRONMENT AND HOUSING,TRADING - BUILDING,26/05/2020,303000,Cardiff County Council,"3,310.59",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,26/05/2020,333220,Cardiff County Council,908.28,REVENUE
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,26/05/2020,349702,Cardiff County Council,"9,126.85",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,26/05/2020,360002,Cardiff County Council,609.56,REVENUE
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SERVICES (MILES),26/05/2020,402005,Cardiff County Council,"1,591.09",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,26/05/2020,407100,Cardiff County Council,"1,074.79",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,26/05/2020,420201,Cardiff County Council,"3,271.25",REVENUE
DIRECT POLICY,GF GRANTS,26/05/2020,465201,Penarth Town Council,"3,000.00",REVENUE
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,26/05/2020,471900,Cardiff County Council,"13,383.52",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26/05/2020,209151,Joanne Weston,864.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,26/05/2020,365789,Peter Harris,562.50,REVENUE
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,26/05/2020,471900,HM Revenue and Customs - Glasgow - Chaps,"41,716.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,26/05/2020,100303,New Directions (Education) Limited,965.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,26/05/2020,100303,New Directions (Education) Limited,965.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/05/2020,101047,New Directions (Education) Limited,757.50,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/05/2020,101315,New Directions (Education) Limited,930.70,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/05/2020,323686,Hays Specialist Recruitment Limited,659.20,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,214999,Carers Trust South East Wales,"4,000.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215022,Cheerful Elegant Healthcare Limited t/a Channel View Residential Care Home,634.60,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,J and P Residential Homes Limited T/A Monkstone House,501.68,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,501.91,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Springbank Care Home Limited T/A Springbank Nursing Home,502.44,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Sunshine Care Limited t/a The Retreat Care Home,503.09,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Hebron Hall Limited,503.56,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,HC-One Limited t/a Glanffrwd Care Home,507.93,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,509.31,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,512.46,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Springbank Care Home Limited T/A Springbank Nursing Home,512.48,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Cheerful Elegant Healthcare Limited t/a Channel View Residential Care Home,515.11,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,515.95,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,The Manor House St Hilary Limited T/A Milsom House,518.27,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,June Zehetmayr t/a Tower Hill Residential Home,519.03,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,519.31,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,The Royal Masonic Benevolent Institution Care Company T/A Albert Edward Prince of Wales Court,519.85,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,531.85,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,532.06,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,MHA Care Group t/a Morel Court,532.10,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,534.45,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,535.89,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,537.65,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Springbank Care Home Limited T/A Springbank Nursing Home,537.74,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,538.25,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,541.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,543.96,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Springbank Care Home Limited T/A Springbank Nursing Home,544.55,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),547.67,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,551.41,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Northcote Developments Limited,559.93,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Baltimore Care Limited,560.29,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,560.29,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Hebron Hall Limited,560.67,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,MHA Care Group t/a Morel Court,561.01,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Northcote Developments Limited,561.19,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,564.04,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,564.15,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,566.10,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,566.82,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,569.17,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Baltimore Care Limited,570.30,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,571.72,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,572.44,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Northcote Developments Limited,575.49,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,MHA Care Group t/a Morel Court,575.62,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,587.38,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,592.33,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,594.96,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Beatrice Webb Residential Home,598.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,The Manor House St Hilary Limited T/A Milsom House,598.76,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Acorn Luxury Care Limited,600.02,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,600.71,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,602.14,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,605.08,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,609.11,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,622.78,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,623.94,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,634.60,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,638.14,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,639.21,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,648.60,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,651.09,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,MHA Care Group t/a Morel Court,652.22,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,655.53,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,656.15,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,656.15,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,656.15,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,656.61,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Springbank Care Home Limited T/A Springbank Nursing Home,665.55,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,667.04,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,669.96,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,671.76,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,672.73,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Springbank Care Home Limited T/A Springbank Nursing Home,676.49,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Northcote Developments Limited,680.68,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,687.67,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,711.72,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Springbank Care Home Limited T/A Springbank Nursing Home,718.27,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,728.42,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Larchwood Care Homes (North) Limited T/A Ty Dinas,730.87,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,742.46,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,771.57,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,771.57,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,The Manor House St Hilary Limited T/A Milsom House,779.10,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Ely Court Care Limited t/a Ely Court Care Home,785.65,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,797.90,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Forge Care Homes Limited t/a The Forge Care Centre,925.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,The Manor House St Hilary Limited T/A Milsom House,943.53,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Oakville Care Limited t/a Romilly Nursing Home,"1,007.84",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Hallmark Care Homes (Cardiff) Limited t/a Regency House Care Home,"1,058.06",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Larchwood Care Homes (North) Limited T/A Ty Dinas,"1,357.33",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Leonard Cheshire Disability,"1,386.55",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Llysywaun Limited t/a Bayview Lodge Nursing Home,"1,477.46",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,215489,Waverley Care Centre Limited,"11,211.74",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Springbank Care Home Limited T/A Springbank Nursing Home,535.95,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Crusader Medical Care Limited T/A St Saviours Nursing Home,561.35,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Springbank Care Home Limited T/A Springbank Nursing Home,577.84,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Cheerful Elegant Healthcare Limited t/a Channel View Residential Care Home,634.39,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Ely Court Care Limited t/a Ely Court Care Home,683.48,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Springbank Care Home Limited T/A Springbank Nursing Home,748.98,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Leonard Cheshire Disability,"1,312.64",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Llysywaun Limited t/a Bayview Lodge Nursing Home,"1,582.72",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Voyage 1 Limited t/a Falcons Rest & Poachers Cottage,"1,869.77",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Care 4 U (Neath) Limited,"1,892.19",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Valebrook Care Homes Limited,"2,004.65",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,216179,Voyage 1 Limited t/a Brook Lodge,"2,606.71",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,550.34,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Glasallt Fawr Camphill Centre,"1,093.14",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,The Cedars Care Services Limited T/A Ashgrove Care Home,"1,110.86",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,The Cedars Care Services Limited T/A Oaklands,"1,149.55",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Valebrook Care Homes Limited,"1,171.85",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Ocean Community Services Limited t/a Westminster Court Care Home,"1,211.78",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Vale Phoenix Ltd t/a Dan y Bryn House,"1,245.28",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,The Cedars Care Services Limited t/a The Cedars,"1,519.59",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Valebrook Care Homes Limited,"1,567.58",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Valebrook Care Homes Limited,"1,599.70",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Amethyst Health Care Limited t/a Hillstone House,"1,626.91",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Heatherleigh Care Ltd,"1,725.90",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,The Cedars Care Services Limited t/a The Cedars,"1,752.87",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Valebrook Care Homes Limited,"1,836.01",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Amethyst Health Care Limited t/a Hillstone House,"1,868.74",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Llysywaun Limited t/a Bayview Lodge Nursing Home,"1,913.62",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Valebrook Care Homes Limited,"1,959.68",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Valebrook Care Homes Limited,"2,005.17",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,The Cedars Care Services Limited t/a Sycamore House,"2,010.80",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Accomplish Group Limited,"2,024.20",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Valebrook Care Homes Limited,"2,221.02",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,The Cedars Care Services Limited T/A Ashgrove Care Home,"2,345.79",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Accomplish Group Limited,"2,383.51",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,217909,Ocean Community Services Limited t/a Beech House,"2,455.65",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,218321,Isman & Kinze Essa T/A Haven House,503.25,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,218321,Liam George t/a Claremont Care Home,554.35,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,218321,Sanda Mitchel & Ptn t/a Canola House Residential Home,554.35,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,218321,Adriana Limited T/A The Priory Nursing Home,632.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/05/2020,218321,J and P Residential Homes Limited T/A Monkstone House,653.00,REVENUE
